,country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Unnamed: 0,beer mean,Wine mean,Spirit mean,Pure alcohol mean
0,Albania,11.93229306302292,0,0.8864406779661018,0.5966101694915253,1.1152542372881358,2.616949152542373
1,Andorra,1.4244887516227818,1,3.1047619047619057,5.095238095238095,2.557142857142857,10.814285714285717
2,Armenia,89.31148510945353,2,0.3193548387096773,0.5580645161290323,2.651612903225807,3.400000000000001
3,Austria,369.0104621776979,3,6.462295081967214,4.39344262295082,1.822950819672131,12.572131147540984
4,Azerbaijan,271.27907523813093,4,0.3548387096774192,0.5096774193548386,0.7,1.283870967741935
5,Belarus,2580.928058914786,5,1.9242424242424243,0.7878787878787877,5.618181818181816,10.936585365853654
6,Belgium,388.6375086436556,6,6.737931034482758,3.0948275862068977,1.848275862068965,11.52413793103448
7,Bosnia and Herzegovina,216.45105913083995,7,2.970967741935484,0.6516129032258066,3.164516129032257,6.419354838709677
8,Bulgaria,154.32965500175268,8,3.449999999999999,2.8310344827586205,3.963793103448276,10.003448275862064
9,Croatia,254.4036077658318,9,4.532352941176471,5.352941176470588,2.0794117647058825,11.535294117647055
10,Cyprus,6.534597714893374,10,2.745,2.2333333333333343,3.498333333333332,8.148333333333332
11,Czechia,378.1357742569903,11,7.2,2.401666666666666,3.6200000000000014,12.846666666666671
12,Denmark,645.4416201428377,12,6.168333333333335,3.005,1.7899999999999998,10.565
13,Estonia,291.022527307255,13,4.735483870967742,1.6548387096774186,5.96774193548387,12.59354838709678
14,Finland,586.9473155407284,14,3.7166666666666655,1.398333333333334,1.753333333333334,7.943333333333331
15,France,3352.950943601312,15,2.7216666666666662,11.248333333333337,3.0466666666666664,16.674999999999997
16,Georgia,81.50332960736974,16,1.2935483870967746,3.190322580645162,2.138709677419355,5.596774193548388
17,Germany,5968.074290437505,17,7.80333333333333,3.350000000000001,3.0800000000000005,13.636666666666668
18,Greece,35.33561838106592,18,2.47241379310345,4.655172413793101,3.146551724137931,9.720689655172412
19,Hungary,800.6200470628955,19,4.726666666666666,4.526666666666668,4.485,13.093333333333334
20,Iceland,6.547261486681472,20,2.405,1.4066666666666667,2.655,5.784999999999999
21,Ireland,86.43098683487283,21,7.627586206896552,1.734482758620689,2.663793103448276,12.01551724137931
22,Israel,63.48907276069694,22,1.4649999999999987,1.0650000000000004,1.525,3.428333333333333
23,Italy,386.3293161151902,23,1.6716666666666673,10.113333333333337,1.8383333333333336,12.865000000000004
24,Kazakhstan,1256.3882887831485,24,2.12258064516129,1.0322580645161292,4.474193548387096,6.067741935483872
25,Kyrgyzstan,451.6253673013197,25,1.2111111111111112,1.0250000000000008,4.541666666666668,5.394444444444444
26,Latvia,385.66319472282896,26,3.480487804878048,2.0951219512195123,5.434146341463415,10.063414634146344
27,Lithuania,631.1256914577747,27,4.870967741935482,2.029032258064516,4.97741935483871,10.762162162162166
28,Luxembourg,21.09919735779968,28,5.466666666666667,7.506666666666669,3.26,15.285
29,Malta,3.222852226475774,29,2.6783333333333337,1.9099999999999997,2.2616666666666663,5.994999999999998
30,Montenegro,11.920290270794345,31,5.98,4.493333333333334,4.52,11.046666666666663
31,Netherlands,337.7406882596088,32,4.991666666666666,2.6966666666666663,2.85,9.466666666666669
32,North Macedonia,20.959726470555506,33,3.0000000000000004,2.26896551724138,2.5620689655172404,5.565517241379309
33,Norway,262.17289681958306,34,3.1950000000000007,1.686666666666667,2.064999999999999,5.84
34,Poland,3747.0477669601178,35,3.765,1.7149999999999996,5.015,9.326666666666666
35,Portugal,249.79301420355952,36,3.1666666666666665,10.645,1.5600000000000007,14.435
36,Romania,1157.034324515139,38,3.6283333333333343,4.416666666666668,3.0316666666666654,9.931666666666668
37,Serbia,420.339021724172,41,5.180952380952381,4.047619047619048,4.199999999999998,9.67619047619048
38,Slovakia,184.81288444300645,42,6.341666666666667,2.925,4.623333333333333,12.553333333333338
39,Slovenia,144.845825115279,43,5.485,7.297500000000001,2.935,13.6725
40,Spain,429.7713992753698,44,4.369491525423729,6.903389830508475,3.922033898305083,13.732203389830508
41,Sweden,445.0803552755872,45,3.766666666666666,2.618333333333333,2.933333333333334,7.855000000000002
42,Switzerland,266.80623788948736,46,4.681818181818183,6.7254545454545465,2.976363636363637,12.947272727272727
43,Tajikistan,172.4264915158385,47,1.831034482758621,1.775862068965518,2.1206896551724133,2.493103448275862
44,Turkey,228.80295191861592,48,1.3199999999999992,0.9216666666666684,1.2333333333333332,1.8616666666666672
45,Turkmenistan,177.02901180509917,49,2.0034482758620697,2.7689655172413787,2.613793103448274,3.986206896551725
46,Ukraine,10664.066216204332,50,3.159523809523808,1.9690476190476187,4.578571428571429,7.345238095238097
47,United Kingdom,1591.5783010842115,51,6.360000000000002,2.703333333333336,2.724999999999999,10.431666666666668
48,Uzbekistan,551.1431085417296,52,2.0965517241379312,2.0379310344827597,3.26896551724138,3.810344827586207
