,country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Unnamed: 0,beer mean
0,Albania,259.98379621264456,0,0.8864406779661018
1,Andorra,9.091886124624034,1,3.1047619047619057
2,Armenia,759.8671984503579,2,0.3193548387096773
3,Austria,2062.8540298359303,3,6.462295081967214
4,Azerbaijan,2483.1344120532062,4,0.3548387096774192
5,Belarus,2080.992602302997,5,1.9242424242424243
6,Belgium,1824.273874510568,6,6.737931034482758
7,Bosnia and Herzegovina,659.2378407456164,7,2.970967741935484
8,Bulgaria,1958.3273574373543,8,3.449999999999999
9,Croatia,1454.5359879972025,9,4.532352941176471
10,Cyprus,106.97713877229468,10,2.745
11,Czechia,2143.0365954987483,11,7.2
12,Denmark,985.2574329475804,12,6.168333333333335
13,Estonia,276.0753604807997,13,4.735483870967742
14,Finland,952.2073336125673,14,3.7166666666666655
15,France,11564.935032177653,15,2.7216666666666662
16,Georgia,1283.4486965615563,16,1.2935483870967746
17,Germany,20856.492739862857,17,7.80333333333333
18,Greece,1340.3775108987209,18,2.47241379310345
19,Hungary,5548.818307904178,19,4.726666666666666
20,Iceland,13.837610613795004,20,2.405
21,Ireland,304.5868079489759,21,7.627586206896552
22,Israel,572.9123874707808,22,1.4649999999999987
23,Italy,13556.155322680035,23,1.6716666666666673
24,Kazakhstan,4663.767258072072,24,2.12258064516129
25,Kyrgyzstan,1795.1201884446834,25,1.2111111111111112
26,Latvia,417.0648040484654,26,3.480487804878048
27,Lithuania,822.4614455057716,27,4.870967741935482
28,Luxembourg,89.7928308610615,28,5.466666666666667
29,Malta,38.0570592746288,29,2.6783333333333337
30,Montenegro,44.23669308779245,31,5.98
31,Netherlands,1607.7865406368426,32,4.991666666666666
32,North Macedonia,189.8909608734912,33,3.0000000000000004
33,Norway,351.00060544057186,34,3.1950000000000007
34,Poland,7250.476971297373,35,3.765
35,Portugal,2632.0598174854385,36,3.1666666666666665
36,Romania,10589.201447504069,38,3.6283333333333343
37,Serbia,1425.987815773573,41,5.180952380952381
38,Slovakia,1571.680096082537,42,6.341666666666667
39,Slovenia,694.7936563642701,43,5.485
40,Spain,8773.406929129615,44,4.369491525423729
41,Sweden,942.7083944107438,45,3.766666666666666
42,Switzerland,897.2805039131026,46,4.681818181818183
43,Tajikistan,1151.472936289391,47,1.831034482758621
44,Turkey,4187.934545917271,48,1.3199999999999992
45,Turkmenistan,1525.6195649482531,49,2.0034482758620697
46,Ukraine,16634.27731542371,50,3.159523809523808
47,United Kingdom,7453.678128302131,51,6.360000000000002
48,Uzbekistan,8149.825836420709,52,2.0965517241379312
