,country,beer mean
0,Albania,0.8864406779661018
1,Andorra,3.1047619047619057
2,Armenia,0.3193548387096773
3,Austria,6.462295081967214
4,Azerbaijan,0.3548387096774192
5,Belarus,1.9242424242424245
6,Belgium,6.737931034482758
7,Bosnia and Herzegovina,2.9709677419354836
8,Bulgaria,3.449999999999999
9,Croatia,4.532352941176471
10,Cyprus,2.745
11,Czechia,7.2
12,Denmark,6.168333333333335
13,Estonia,4.735483870967742
14,Finland,3.7166666666666663
15,France,2.7216666666666662
16,Georgia,1.2935483870967746
17,Germany,7.80333333333333
18,Greece,2.47241379310345
19,Hungary,4.726666666666666
20,Iceland,2.405
21,Ireland,7.627586206896552
22,Israel,1.4649999999999987
23,Italy,1.6716666666666673
24,Kazakhstan,2.12258064516129
25,Kyrgyzstan,1.2111111111111112
26,Latvia,3.480487804878048
27,Lithuania,4.870967741935482
28,Luxembourg,5.466666666666667
29,Malta,2.6783333333333337
30,Monaco,30.0
31,Montenegro,5.9799999999999995
32,Netherlands,4.991666666666666
33,North Macedonia,3.0000000000000004
34,Norway,3.1950000000000007
35,Poland,3.765
36,Portugal,3.1666666666666665
37,Republic of Moldova,2.403448275862069
38,Romania,3.6283333333333343
39,Russian Federation,2.7655172413793094
40,San Marino,40.0
41,Serbia,5.180952380952381
42,Slovakia,6.341666666666667
43,Slovenia,5.485
44,Spain,4.369491525423729
45,Sweden,3.766666666666666
46,Switzerland,4.6818181818181825
47,Tajikistan,1.831034482758621
48,Turkey,1.3199999999999992
49,Turkmenistan,2.0034482758620697
50,Ukraine,3.159523809523808
51,United Kingdom,6.360000000000002
52,Uzbekistan,2.0965517241379312
53,WHO European Region,4.203921568627452
54,Members of the European Union,5.407843137254904
55,Members of the EU before May 2004 (EU15),5.525490196078433
56,Members of the EU after May 2004 (EU13),5.1196078431372545
57,Commonwealth of Independent States,3.8387096774193554
58,Central Asian Republics Information Network members (CARINFONET),2.5896551724137935
59,South-eastern Europe Health Network members (SEEHN),4.8838709677419345
60,Nordic countries,5.0215686274509785
61,Small countries,4.807843137254903
