,country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
0,Albania,1.1,1.1,1.1,1.2,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.0,1.1,1.0,1.0,0.8,0.6,0.4,0.8,0.4,0.8,0.6,1.0,1.4,1.1,0.7,0.7,0.7,0.6,0.7,0.5,0.4,0.4,0.2,0.2,0.3,0.3,0.2,0.4,0.4,0.2,0.3,0.2,0.1,0.1,0.2,0.3,0.2,0.1,0.5,0.5,0.4,0.2,0.1,0.2,0.3,0.2,0.3,,
1,Andorra,5.0,4.8,5.3,5.4,5.4,4.1,4.6,4.7,4.7,4.7,4.9,4.9,5.2,5.6,5.6,5.9,6.0,6.3,6.4,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Armenia,0.5,0.3,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.1,0.2,0.3,0.2,0.3,0.2,0.2,0.4,0.6,1.3,1.4,1.3,2.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Austria,3.7,3.6,3.6,3.7,3.6,4.2,3.9,4.1,4.1,4.3,4.0,3.9,4.4,4.4,4.0,3.8,4.1,4.0,4.2,4.3,4.2,4.3,4.2,4.4,4.5,4.3,4.5,4.6,4.7,4.8,4.9,4.8,4.7,4.6,4.8,5.1,5.3,5.0,5.0,5.1,5.2,5.1,5.3,5.4,5.2,5.3,5.5,5.4,5.4,5.2,5.0,5.0,4.8,4.7,4.0,3.1,3.0,2.9,3.0,2.8
4,Azerbaijan,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.9,1.4,0.2,0.1,0.1,0.2,0.5,0.1,2.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Belarus,1.0,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.6,0.7,0.6,0.6,0.6,0.2,0.5,0.4,0.4,0.2,0.8,0.7,0.4,0.3,0.4,0.7,0.5,0.2,1.3,1.3,1.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Belgium,3.4,3.4,3.4,3.5,4.0,4.0,3.9,3.7,3.7,3.7,3.7,3.8,4.3,4.4,4.2,4.2,4.0,4.2,4.0,4.0,2.7,2.6,3.3,3.4,3.4,3.2,3.4,3.3,3.2,3.3,3.1,3.4,3.1,2.9,3.1,3.1,3.0,3.0,2.9,2.8,2.8,2.5,2.5,2.3,2.5,2.3,2.3,2.2,2.1,2.0,1.8,1.7,1.5,1.4,1.6,1.3,1.0,,,
7,Bosnia and Herzegovina,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.2,0.2,0.3,0.2,0.2,0.8,0.4,0.5,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bulgaria,1.7,2.1,1.7,2.0,2.0,1.8,1.5,1.9,1.0,1.1,1.6,1.5,1.5,1.4,1.7,1.8,2.5,2.3,2.7,2.0,2.8,2.9,2.9,2.9,2.9,3.0,3.0,3.1,2.8,3.2,3.0,3.2,3.1,3.1,2.8,3.3,3.2,3.5,3.6,3.1,3.2,3.7,3.3,3.8,3.3,3.7,3.9,3.3,3.3,3.0,3.5,4.3,3.4,3.2,3.5,3.1,3.5,,,
9,Croatia,3.5,3.5,3.7,4.0,3.8,3.9,4.5,4.8,5.0,5.0,4.8,4.7,4.6,4.4,4.3,5.4,5.7,6.7,6.2,5.9,6.6,6.8,6.8,5.4,5.0,5.3,6.0,6.3,6.1,7.6,5.1,5.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Cyprus,2.7,2.7,2.7,2.7,2.7,2.8,2.5,2.6,2.6,2.7,2.6,3.0,2.9,2.9,2.8,2.6,2.5,2.7,2.5,2.5,2.3,2.0,2.0,2.1,2.3,2.2,2.1,2.3,1.9,2.1,2.2,2.2,2.1,1.9,1.9,1.9,1.8,1.8,1.6,1.5,1.4,1.4,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.9,1.5,2.2,2.3,2.3,1.5,2.3,
