country,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number)
Afghanistan,1847.2224071811647
Albania,259.98379621264456
Algeria,2267.821930691969
American Samoa,5.009707325922625
Andean Latin America,8606.902720064472
Andorra,9.091886124624034
Angola,3437.0098189140795
Antigua and Barbuda,9.262355169208865
Argentina,5944.550281449514
Armenia,759.8671984503579
Australasia,1779.3579799573042
Australasia & Oceania,
Australia,1546.7645780490136
Austria,2062.8540298359303
Azerbaijan,2483.1344120532062
Bahamas,42.7241345025567
Bahrain,52.45748737977353
Bangladesh,24495.381915126112
Barbados,34.21196323454496
Belarus,2080.992602302997
Belgium,1824.2738745105676
Belize,34.48390482565318
Benin,1131.3006343577574
Bermuda,7.20417565063134
Bhutan,128.02257868090848
Bolivia,1645.5819619334666
Bosnia and Herzegovina,659.2378407456164
Bosnia-Herzegovina,
Botswana,148.56958035210408
Brazil,27946.318235567258
Brunei,17.942791903166306
Bulgaria,1958.3273574373543
Burkina Faso,2045.2694203301894
Burundi,1733.4834995797132
Cambodia,6508.510842123045
Cameroon,3399.219566858706
Canada,3716.730208009318
Cape Verde,64.86198411072688
Caribbean,6069.741868849795
Central African Republic,616.110105106345
Central America & Caribbean,
Central Asia,22793.6106951755
Central Europe,33790.20752677885
"Central Europe, Eastern Europe, and Central Asia",120726.80294076772
Central Latin America,43659.83392670092
Central Sub-Saharan Africa,14432.528045786035
Chad,1427.5538463890916
Chile,4003.0742478314096
China,149530.8534452116
Colombia,2884.914799179864
Comoros,63.86574736163589
Congo,735.3976580376369
Costa Rica,554.4745312974383
Cote d'Ivoire,3084.1606867825044
Croatia,1454.5359879972023
Cuba,1392.2739376000497
Cyprus,106.97713877229467
Czechia,2143.0365954987483
Czechoslovakia,
Democratic Republic of Congo,9186.142474279803
Denmark,985.2574329475805
Djibouti,87.87964794312866
Dominica,8.902256971278666
Dominican Republic,1429.370362272162
East Asia,162285.931384202
East Germany (GDR),
East Timor,
Eastern Europe,64142.98471881338
Eastern Sub-Saharan Africa,49474.44135711539
Ecuador,2332.2207826479125
Egypt,34236.9096484297
El Salvador,1166.2080959125558
England,5884.009975373657
Equatorial Guinea,98.59236423159257
Eritrea,927.530680765131
Estonia,276.0753604807997
Eswatini,144.14120560438104
Ethiopia,13471.547805966284
Fiji,50.19356309768182
Finland,952.2073336125671
France,11564.935032177653
French Guiana,
French Polynesia,
Gabon,359.2756252165779
Gambia,206.6430862397642
Georgia,1283.4486965615565
Germany,20856.492739862857
Ghana,3607.981833038841
Greece,1340.3775108987209
Greenland,5.586196176806253
Grenada,14.317096625935957
Guadeloupe,
Guam,27.66604231233332
Guatemala,3052.022709212996
Guinea,1596.4298758438715
Guinea-Bissau,235.08339499552935
Guyana,163.55952095000674
Haiti,1263.6871203089254
High SDI,183090.96806022976
High-income,172033.78730929922
High-income Asia Pacific,33705.51596173508
High-middle SDI,188806.52082851747
Honduras,1621.4094668558207
Hong Kong,
Hungary,5548.818307904178
Iceland,13.837610613795004
India,155748.72483730043
Indonesia,72581.0504578069
International,
Iran,3838.053113670667
Iraq,1150.5005351273771
Ireland,304.5868079489759
Israel,572.9123874707808
Italy,13556.155322680035
Jamaica,169.31268741419814
Japan,22284.44192243306
Jordan,288.43833362788877
Kazakhstan,4663.767258072072
Kenya,8122.705512015384
Kiribati,14.54141437232782
Kosovo,
Kuwait,89.57515276871628
Kyrgyzstan,1795.1201884446834
Laos,1218.111415345539
Latin America and Caribbean,86774.4264395603
Latvia,417.0648040484654
Lebanon,362.84538887328614
Lesotho,219.5836246822214
Liberia,664.8830198981104
Libya,410.3007106168879
Lithuania,822.4614455057716
Low SDI,139944.69595493338
Low-middle SDI,288572.3741730125
Luxembourg,89.7928308610615
Macau,
Madagascar,2500.374196218149
Malawi,2814.308443084904
Malaysia,2250.894045083505
Maldives,13.295465447597893
Mali,1803.8905951109693
Malta,38.0570592746288
Marshall Islands,7.597530418231133
Martinique,
Mauritania,385.3614724977524
Mauritius,280.9058641429044
Mexico,30678.821010532385
Micronesia (country),14.473170337338894
Middle East & North Africa,
Middle SDI,300708.5496678943
Moldova,3414.1996294427763
Mongolia,981.3546039352635
Montenegro,44.23669308779245
Morocco,2572.2040998854395
Mozambique,2279.4292531053547
Myanmar,20468.479324201646
Namibia,168.0751818322852
Nepal,4176.467206958295
Netherlands,1607.7865406368426
New Caledonia,
New Zealand,232.5934019082906
Nicaragua,772.4593923499432
Niger,1267.461742728739
Nigeria,41993.384398912094
North Africa and Middle East,59824.76797762015
North America,49083.09612374889
North Korea,3811.592947633539
North Macedonia,189.89096087349122
Northern Ireland,177.77204036625866
Northern Mariana Islands,6.8901780077439
Norway,351.00060544057186
Oceania,1275.8932673861223
Oman,114.099618858908
Pakistan,33913.77531243941
Palestine,159.6949935492069
Panama,305.52700209506804
Papua New Guinea,933.2529211645355
Paraguay,491.62968837784746
Peru,4629.099975483094
Philippines,8174.411778406762
Poland,7250.476971297373
Portugal,2632.0598174854385
Puerto Rico,982.0076174882067
Qatar,55.5518641887763
Romania,10589.201447504069
Russia,40497.91356160887
Rwanda,2464.5486783839174
Saint Kitts and Nevis,
Saint Lucia,22.37447544740014
Saint Vincent and the Grenadines,12.729630643429202
Samoa,20.493327752821127
Sao Tome and Principe,69.1342488435335
Saudi Arabia,1929.3803191603633
Scotland,987.7689235383481
Senegal,1212.0387731571052
Serbia,1425.987815773573
Serbia-Montenegro,
Seychelles,20.99272500064094
Sierra Leone,1205.9326111955295
Singapore,197.85404650285597
Slovakia,1571.680096082537
Slovenia,694.7936563642701
Solomon Islands,56.497020589960066
Somalia,1727.8300128760618
South Africa,5372.8918461590065
South America,
South Asia,218462.37185050518
South Korea,11205.277200895996
South Sudan,1097.9070142963083
Southeast Asia,145444.41967726874
"Southeast Asia, East Asia, and Oceania",309006.24432885676
Southern Latin America,10453.325304108293
Southern Sub-Saharan Africa,7578.442228959269
Spain,8773.406929129615
Sri Lanka,4199.363753902737
Sub-Saharan Africa,137598.42631057504
Sudan,2771.396476107602
Suriname,92.6498081277325
Sweden,942.7083944107438
Switzerland,897.2805039131026
Syria,1143.4004712945505
Taiwan,6285.781612717835
Tajikistan,1151.4729362893913
Tanzania,5701.914948514787
Thailand,12984.136639224496
Timor,145.51264650681458
Togo,711.3176732383852
Tonga,17.8934632734873
Trinidad and Tobago,151.56573161387035
Tropical Latin America,28437.947923945107
Tunisia,759.7524478252491
Turkey,4187.934545917271
Turkmenistan,1525.6195649482531
USSR,
Uganda,3879.696693902969
Ukraine,16634.27731542371
United Arab Emirates,158.56403160981654
United Kingdom,7453.678128302131
United States,45359.83142897855
United States Virgin Islands,25.659556984612472
Uruguay,505.20864116762135
Uzbekistan,8149.825836420709
Vanuatu,44.030430402211145
Venezuela,2623.9969192648373
Vietnam,16402.902087465438
Wales,404.127189023868
Wallis and Futuna,
West Germany (FRG),
Western Europe,77012.49193974967
Western Sahara,
Western Sub-Saharan Africa,66113.01467871432
World,1104426.8271571842
World (excluding China),
Yemen,1378.6482582497756
Yugoslavia,
Zaire,
Zambia,2571.381196979372
Zimbabwe,1525.1807903292688
